id,asset,year,rep_period,time_block_start,time_block_end,solution,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
31,battery,2030,2,7,7,,-2.3256373668478245,0.0,0.0
32,battery,2030,2,8,8,,-2.3256373668478245,0.0,0.0
33,battery,2030,2,9,9,,-2.3256373668478245,0.0,0.0
34,battery,2030,2,10,10,,-2.3256373668478245,0.0,0.0
35,battery,2030,2,11,11,,-2.3256373668478245,0.0,0.0
36,battery,2030,2,12,12,,-2.3256373668478245,0.0,0.0
37,battery,2030,2,13,13,,-2.3256373668478245,0.0,0.0
38,battery,2030,2,14,14,,-2.3256373668478245,0.0,0.0
39,battery,2030,2,15,15,,-2.3256373668478245,0.0,0.0
40,battery,2030,2,16,16,,-2.3256373668478245,0.0,0.0
41,battery,2030,2,17,17,,-2.3256373668478245,0.0,0.0
42,battery,2030,2,18,18,,-2.3256373668478245,0.0,0.0
43,battery,2030,2,19,19,,-2.3256373668478245,0.0,0.0
44,battery,2030,2,20,20,,-2.3256373668478245,0.0,0.0
45,battery,2030,2,21,21,,-2.3256373668478245,0.0,0.0
46,battery,2030,2,22,22,,-2.3256373668478245,0.0,0.0
47,battery,2030,2,23,23,,-2.3256373668478245,0.0,0.0
48,battery,2030,2,24,24,,-2.3256373668478245,0.0,0.0
49,battery,2030,3,1,1,,-2.5376633634444294,0.0,0.0
50,battery,2030,3,2,2,,-2.5376633634444294,0.0,0.0
51,battery,2030,3,3,3,,-2.5376633634444294,0.0,0.0
52,battery,2030,3,4,4,,-2.5376633634444294,0.0,0.0
53,battery,2030,3,5,5,,-2.5376633634444294,0.0,0.0
54,battery,2030,3,6,6,,-2.5376633634444294,0.0,0.0
55,battery,2030,3,7,7,,-2.5376633634444294,0.0,0.0
56,battery,2030,3,8,8,,-2.5376633634444294,0.0,0.0
57,battery,2030,3,9,9,,-2.290241185508598,0.0,0.0
58,battery,2030,3,10,10,,-2.290241185508598,0.0,0.0
59,battery,2030,3,11,11,,-2.290241185508598,0.0,0.0
60,battery,2030,3,12,12,,-2.290241185508598,0.0,0.0
61,battery,2030,3,13,13,,-2.290241185508598,0.0,0.0
62,battery,2030,3,14,14,,-2.290241185508598,0.0,0.0
63,battery,2030,3,15,15,,-2.290241185508598,0.0,0.0
64,battery,2030,3,16,16,,-2.290241185508598,0.0,0.0
65,battery,2030,3,17,17,,-2.290241185508598,0.0,0.0
66,battery,2030,3,18,18,,-2.290241185508598,0.0,0.0
67,battery,2030,3,19,19,,-2.290241185508598,0.0,0.0
68,battery,2030,3,20,20,,-2.290241185508598,0.0,0.0
69,battery,2030,3,21,21,,-2.290241185508598,0.0,0.0
70,battery,2030,3,22,22,,-2.290241185508598,0.0,0.0
71,battery,2030,3,23,23,,-2.290241185508598,0.0,0.0
72,battery,2030,3,24,24,,-2.290241185508598,0.0,0.0
73,battery,2030,4,1,1,,-1.1840737125311163,0.0,0.0
74,battery,2030,4,2,2,,-1.0686265255593326,0.0,0.0
75,battery,2030,4,3,3,,-1.0686265255593326,0.0,0.0
76,battery,2030,4,4,4,,-1.0686265255593326,0.0,0.0
77,battery,2030,4,5,5,,-1.0686265255593326,0.0,0.0
78,battery,2030,4,6,6,,-1.0686265255593326,0.0,0.0
79,battery,2030,4,7,7,,-1.0686265255593326,0.0,0.0
80,battery,2030,4,8,8,,-0.09472589700248932,0.0,0.0
81,battery,2030,4,9,9,,-0.04736294850124466,0.0,0.0
82,battery,2030,4,10,10,,-0.04736294850124466,0.0,0.0
83,battery,2030,4,11,11,,-0.04736294850124466,0.0,0.0
84,battery,2030,4,12,12,,-0.047362948501244666,0.0,0.0
85,battery,2030,4,13,13,,-0.047362948501244666,0.0,0.0
86,battery,2030,4,14,14,,-0.047362948501244666,0.0,0.0
87,battery,2030,4,15,15,,-0.047362948501244666,6.938893903907228e-18,0.0
88,battery,2030,4,16,16,,-0.04736294850124466,0.0,0.0
89,battery,2030,4,17,17,,-0.04736294850124466,0.0,0.0
90,battery,2030,4,18,18,,-0.04736294850124466,-1.021263577058088,0.0
91,battery,2030,4,19,19,,-1.0686265255593326,0.0,0.0
92,battery,2030,4,20,20,,-1.0686265255593326,0.0,0.0
93,battery,2030,4,21,21,,-1.0686265255593326,0.0,0.0
94,battery,2030,4,22,22,,-1.0686265255593326,0.0,0.0
95,battery,2030,4,23,23,,-1.0686265255593326,0.0,0.0
96,battery,2030,4,24,24,,-1.0686265255593326,0.0,0.0
97,battery,2030,5,1,1,,-1.6493408532889233,0.0,0.0
98,battery,2030,5,2,2,,-1.6493408532889233,0.0,0.0
99,battery,2030,5,3,3,,-1.4885301200932535,0.0,0.0
100,battery,2030,5,4,4,,-1.4885301200932535,0.0,0.0
101,battery,2030,5,5,5,,-1.4885301200932535,0.0,0.0
102,battery,2030,5,6,6,,-1.4885301200932535,0.0,0.0
103,battery,2030,5,7,7,,-1.4885301200932535,0.0,0.0
104,battery,2030,5,8,8,,-1.4885301200932535,0.0,0.0
105,battery,2030,5,9,9,,-1.4885301200932535,0.0,0.0
106,battery,2030,5,10,10,,-1.4885301200932535,0.0,0.0
107,battery,2030,5,11,11,,-1.4885301200932535,0.0,0.0
108,battery,2030,5,12,12,,-1.4885301200932535,0.0,0.0
109,battery,2030,5,13,13,,-1.4885301200932535,0.0,0.0
110,battery,2030,5,14,14,,-1.4885301200932535,0.0,0.0
111,battery,2030,5,15,15,,-1.4885301200932535,0.0,0.0
112,battery,2030,5,16,16,,-1.4885301200932535,0.0,0.0
113,battery,2030,5,17,17,,-1.4885301200932535,0.0,0.0
114,battery,2030,5,18,18,,-1.4885301200932535,0.0,0.0
115,battery,2030,5,19,19,,-1.4885301200932535,0.0,0.0
116,battery,2030,5,20,20,,-1.4885301200932535,0.0,0.0
117,battery,2030,5,21,21,,-1.4885301200932535,0.0,0.0
118,battery,2030,5,22,22,,-1.4885301200932535,0.0,0.0
119,battery,2030,5,23,23,,-1.4885301200932535,0.0,0.0
120,battery,2030,5,24,24,,-1.4885301200932535,0.0,0.0
121,battery,2030,6,1,1,,-0.6209651020892053,0.0,0.0
122,battery,2030,6,2,2,,-0.5604210046355085,0.0,0.0
123,battery,2030,6,3,3,,-0.5604210046355085,0.0,0.0
124,battery,2030,6,4,4,,-0.5604210046355085,0.0,0.0
125,battery,2030,6,5,5,,-0.5604210046355085,0.0,0.0
126,battery,2030,6,6,6,,-0.5604210046355085,0.0,0.0
127,battery,2030,6,7,7,,-0.5604210046355085,0.0,0.0
128,battery,2030,6,8,8,,-0.5604210046355085,0.0,0.0
129,battery,2030,6,9,9,,-0.5604210046355085,0.0,0.0
130,battery,2030,6,10,10,,-0.5604210046355085,0.0,0.0
131,battery,2030,6,11,11,,-0.5604210046355085,0.0,0.0
132,battery,2030,6,12,12,,-0.5604210046355085,0.0,0.0
133,battery,2030,6,13,13,,-0.5604210046355085,0.0,0.0
134,battery,2030,6,14,14,,-0.5604210046355085,0.0,0.0
135,battery,2030,6,15,15,,-0.5604210046355085,0.0,0.0
136,battery,2030,6,16,16,,-0.5604210046355085,0.0,0.0
137,battery,2030,6,17,17,,-0.5604210046355085,0.0,0.0
138,battery,2030,6,18,18,,-0.5604210046355085,0.0,0.0
139,battery,2030,6,19,19,,-0.5604210046355085,0.0,0.0
140,battery,2030,6,20,20,,-0.5604210046355085,0.0,0.0
141,battery,2030,6,21,21,,-0.5604210046355085,0.0,0.0
142,battery,2030,6,22,22,,-0.5604210046355079,0.0,0.0
143,battery,2030,6,23,23,,-0.5604210046355079,0.0,0.0
144,battery,2030,6,24,24,,-0.5604210046355079,0.0,0.0
145,battery,2030,7,1,1,,-1.020321167549145,0.0,0.0
146,battery,2030,7,2,2,,-1.020321167549145,0.0,0.0
147,battery,2030,7,3,3,,-1.020321167549145,0.0,0.0
148,battery,2030,7,4,4,,-0.9208398537131035,0.0,0.0
149,battery,2030,7,5,5,,-0.9208398537131035,0.0,0.0
150,battery,2030,7,6,6,,-0.9208398537131035,0.0,0.0
151,battery,2030,7,7,7,,-0.9208398537131035,0.0,0.0
152,battery,2030,7,8,8,,-0.9208398537131035,0.0,0.0
153,battery,2030,7,9,9,,-0.9208398537131035,0.0,0.0
154,battery,2030,7,10,10,,-0.9208398537131035,0.0,0.0
155,battery,2030,7,11,11,,-0.9208398537131035,0.0,0.0
156,battery,2030,7,12,12,,-0.08162569340393161,0.0,0.0
157,battery,2030,7,13,13,,-0.08162569340393161,0.0,0.0
158,battery,2030,7,14,14,,-0.08162569340393161,0.0,0.0
159,battery,2030,7,15,15,,-0.08162569340393161,1.3877787807814457e-17,0.0
160,battery,2030,7,16,16,,-0.0816256934039316,-0.839214160309172,0.0
161,battery,2030,7,17,17,,-0.9208398537131035,0.0,0.0
162,battery,2030,7,18,18,,-0.9208398537131035,0.0,0.0
163,battery,2030,7,19,19,,-0.9208398537131035,0.0,0.0
164,battery,2030,7,20,20,,-0.9208398537131035,0.0,0.0
165,battery,2030,7,21,21,,-0.9208398537131035,0.0,0.0
166,battery,2030,7,22,22,,-0.9208398537131035,0.0,0.0
167,battery,2030,7,23,23,,-0.9208398537131035,0.0,0.0
168,battery,2030,7,24,24,,-0.9208398537131035,0.0,0.0
169,battery,2030,8,1,1,,-2.7046357023066925,0.0,0.0
170,battery,2030,8,2,2,,-2.7046357023066925,0.0,0.0
171,battery,2030,8,3,3,,-2.7046357023066925,0.0,0.0
172,battery,2030,8,4,4,,-2.44093372133179,0.0,0.0
173,battery,2030,8,5,5,,-2.44093372133179,0.0,0.0
174,battery,2030,8,6,6,,-2.44093372133179,0.0,0.0
175,battery,2030,8,7,7,,-2.44093372133179,0.0,0.0
176,battery,2030,8,8,8,,-2.44093372133179,0.0,0.0
177,battery,2030,8,9,9,,-2.44093372133179,0.0,0.0
178,battery,2030,8,10,10,,-2.44093372133179,0.0,0.0
179,battery,2030,8,11,11,,-2.44093372133179,0.0,0.0
180,battery,2030,8,12,12,,-0.9031323924520454,0.0,0.0
181,battery,2030,8,13,13,,-0.9031323924520454,0.0,0.0
182,battery,2030,8,14,14,,-0.9031323924520454,0.0,0.0
183,battery,2030,8,15,15,,-0.9031323924520454,-1.5378013288797447,0.0
184,battery,2030,8,16,16,,-2.44093372133179,0.0,0.0
185,battery,2030,8,17,17,,-2.44093372133179,0.0,0.0
186,battery,2030,8,18,18,,-2.44093372133179,0.0,0.0
187,battery,2030,8,19,19,,-2.44093372133179,0.0,0.0
188,battery,2030,8,20,20,,-2.44093372133179,0.0,0.0
189,battery,2030,8,21,21,,-2.44093372133179,0.0,0.0
190,battery,2030,8,22,22,,-2.44093372133179,0.0,0.0
191,battery,2030,8,23,23,,-2.44093372133179,0.0,0.0
192,battery,2030,8,24,24,,-2.44093372133179,0.0,0.0
193,battery,2030,9,1,1,,-2.3075136660459243,0.0,0.0
194,battery,2030,9,2,2,,-2.3075136660459243,0.0,0.0
195,battery,2030,9,3,3,,-2.3075136660459243,0.0,0.0
196,battery,2030,9,4,4,,-2.3075136660459243,0.0,0.0
197,battery,2030,9,5,5,,-2.3075136660459243,0.0,0.0
198,battery,2030,9,6,6,,-2.3075136660459243,0.0,0.0
199,battery,2030,9,7,7,,-2.3075136660459243,0.0,0.0
200,battery,2030,9,8,8,,-2.3075136660459243,0.0,0.0
201,battery,2030,9,9,9,,-2.3075136660459243,0.0,0.0
202,battery,2030,9,10,10,,-2.3075136660459243,0.0,0.0
203,battery,2030,9,11,11,,-2.3075136660459243,0.0,0.0
204,battery,2030,9,12,12,,-2.3075136660459243,0.0,0.0
205,battery,2030,9,13,13,,-2.3075136660459243,0.0,0.0
206,battery,2030,9,14,14,,-2.3075136660459243,0.0,0.0
207,battery,2030,9,15,15,,-2.3075136660459243,0.0,0.0
208,battery,2030,9,16,16,,-2.3075136660459243,0.0,0.0
209,battery,2030,9,17,17,,-2.3075136660459243,-0.6281238741022945,0.0
210,battery,2030,9,18,18,,-2.935637540148219,-8.940726142224866,0.0
211,battery,2030,9,19,19,,-11.876363682373086,-10.884044522297618,0.0
212,battery,2030,9,20,20,,-22.760408204670703,0.0,0.0
213,battery,2030,9,21,21,,-22.760408204670703,0.0,0.0
214,battery,2030,9,22,22,,-22.760408204670703,0.0,0.0
215,battery,2030,9,23,23,,-3.230519132464294,0.0,0.0
216,battery,2030,9,24,24,,-2.9155435170490254,0.0,0.0
217,battery,2030,10,1,1,,-1.3968061638687779,0.0,0.0
218,battery,2030,10,2,2,,-1.2606175628915721,0.0,0.0
219,battery,2030,10,3,3,,-1.2606175628915721,0.0,0.0
220,battery,2030,10,4,4,,-1.2606175628915721,0.0,0.0
221,battery,2030,10,5,5,,-1.2606175628915721,0.0,0.0
222,battery,2030,10,6,6,,-1.2606175628915721,0.0,0.0
223,battery,2030,10,7,7,,-1.2606175628915721,0.0,0.0
224,battery,2030,10,8,8,,-1.2606175628915721,0.0,0.0
225,battery,2030,10,9,9,,-1.2606175628915721,0.0,0.0
226,battery,2030,10,10,10,,-0.10084940503132578,0.0,0.0
227,battery,2030,10,11,11,,-0.10084940503132578,0.0,0.0
228,battery,2030,10,12,12,,-0.05587224655475112,0.0,0.0
229,battery,2030,10,13,13,,-0.05587224655475112,0.0,0.0
230,battery,2030,10,14,14,,-0.05587224655475112,0.0,0.0
231,battery,2030,10,15,15,,-0.05587224655475112,0.0,0.0
232,battery,2030,10,16,16,,-0.05587224655475112,-0.834839602466228,0.0
233,battery,2030,10,17,17,,-0.8907118490209791,-0.369905713870593,0.0
234,battery,2030,10,18,18,,-1.2606175628915721,0.0,0.0
235,battery,2030,10,19,19,,-1.2606175628915721,0.0,0.0
236,battery,2030,10,20,20,,-1.2606175628915721,0.0,0.0
237,battery,2030,10,21,21,,-1.2606175628915721,0.0,0.0
238,battery,2030,10,22,22,,-1.2606175628915721,0.0,0.0
239,battery,2030,10,23,23,,-1.2606175628915721,0.0,0.0
240,battery,2030,10,24,24,,-1.2606175628915721,0.0,0.0
241,battery,2030,11,1,1,,-1.5170725101554854,0.0,0.0
242,battery,2030,11,2,2,,-1.5170725101554854,0.0,0.0
243,battery,2030,11,3,3,,-1.5170725101554854,0.0,0.0
244,battery,2030,11,4,4,,-1.3691579404153258,0.0,0.0
245,battery,2030,11,5,5,,-1.3691579404153258,0.0,0.0
246,battery,2030,11,6,6,,-1.3691579404153258,0.0,0.0
247,battery,2030,11,7,7,,-1.3691579404153258,0.0,0.0
248,battery,2030,11,8,8,,-1.3691579404153258,0.0,0.0
249,battery,2030,11,9,9,,-1.3691579404153258,0.0,0.0
250,battery,2030,11,10,10,,-1.3691579404153258,0.0,0.0
251,battery,2030,11,11,11,,-1.3691579404153258,0.0,0.0
252,battery,2030,11,12,12,,-1.3691579404153258,0.0,0.0
253,battery,2030,11,13,13,,-1.3691579404153258,0.0,0.0
254,battery,2030,11,14,14,,-1.3691579404153258,0.0,0.0
255,battery,2030,11,15,15,,-1.3691579404153258,0.0,0.0
256,battery,2030,11,16,16,,-1.3691579404153258,0.0,0.0
257,battery,2030,11,17,17,,-1.3691579404153258,0.0,0.0
258,battery,2030,11,18,18,,-1.3691579404153258,0.0,0.0
259,battery,2030,11,19,19,,-1.3691579404153258,0.0,0.0
260,battery,2030,11,20,20,,-1.3691579404153258,0.0,0.0
261,battery,2030,11,21,21,,-1.3691579404153258,0.0,0.0
262,battery,2030,11,22,22,,-1.3691579404153258,0.0,0.0
263,battery,2030,11,23,23,,-1.3691579404153258,0.0,0.0
264,battery,2030,11,24,24,,-1.3691579404153258,0.0,0.0
265,battery,2030,12,1,1,,-0.6589139479687087,0.0,0.0
266,battery,2030,12,2,2,,-0.5946698380417597,0.0,0.0
267,battery,2030,12,3,3,,-0.5946698380417597,0.0,0.0
268,battery,2030,12,4,4,,-0.5946698380417597,0.0,0.0
269,battery,2030,12,5,5,,-0.5946698380417597,0.0,0.0
270,battery,2030,12,6,6,,-0.5946698380417597,0.0,0.0
271,battery,2030,12,7,7,,-0.5946698380417597,0.0,0.0
272,battery,2030,12,8,8,,-0.5946698380417597,0.0,0.0
273,battery,2030,12,9,9,,-0.5946698380417597,0.0,0.0
274,battery,2030,12,10,10,,-0.5946698380417597,0.0,0.0
275,battery,2030,12,11,11,,-0.5946698380417597,0.0,0.0
276,battery,2030,12,12,12,,-0.5946698380417597,0.0,0.0
277,battery,2030,12,13,13,,-0.5946698380417597,0.0,0.0
278,battery,2030,12,14,14,,-0.5946698380417597,0.0,0.0
279,battery,2030,12,15,15,,-0.5946698380417597,0.0,0.0
280,battery,2030,12,16,16,,-0.5946698380417597,0.0,0.0
281,battery,2030,12,17,17,,-0.5946698380417597,0.0,0.0
282,battery,2030,12,18,18,,-0.5946698380417597,0.0,0.0
283,battery,2030,12,19,19,,-0.5946698380417597,0.0,0.0
284,battery,2030,12,20,20,,-0.5946698380417597,0.0,0.0
285,battery,2030,12,21,21,,-0.5946698380417597,0.0,0.0
286,battery,2030,12,22,22,,-0.5946698380417597,0.0,0.0
287,battery,2030,12,23,23,,-0.5946698380417597,0.0,0.0
288,battery,2030,12,24,24,,-0.5946698380417597,0.0,0.0
